created_at,from_user,from_user_id,from_user_name,geo,text,to_user,metadata,_id,id
"Mon, 19 Nov 2012 07:08:02 +0000","bsneed",7552842,"Brandon Sneed",null,"RT @MichaelTGreen: Mos #define  #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae1fcb05d7eb4000000" },270423167691010048
"Mon, 19 Nov 2012 07:07:46 +0000","LauraPeloso",111451371,"Laura Peloso ♡",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000001" },270423103136489472
"Mon, 19 Nov 2012 07:07:41 +0000","Nodrizzle",45601486,"Nodreen Kiwanuka",null,"RT @YourFavWhiteGuy: MacBook Miller #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000002" },270423080143298560
"Mon, 19 Nov 2012 07:07:36 +0000","Nodrizzle",45601486,"Nodreen Kiwanuka",null,"RT @YourFavWhiteGuy: Math-Whiz Khalifa #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000003" },270423059394072576
"Mon, 19 Nov 2012 07:07:32 +0000","ladymugg",233855624,"ladymugg",null,"EmineMORGP #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000004" },270423045661937665
"Mon, 19 Nov 2012 07:07:31 +0000","LauraPeloso",111451371,"Laura Peloso ♡",null,"RT @YourFavWhiteGuy: MacBook Miller #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000005" },270423041488613376
"Mon, 19 Nov 2012 07:07:21 +0000","chelseadonata",223513057,"chelsea walsh ",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000006" },270422996810862592
"Mon, 19 Nov 2012 07:07:15 +0000","hanschacko",9825852,"hanschacko",null,"RT @CyrisXD: &lt;p&gt;Diddy&lt;/p&gt; #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000007" },270422972974632960
"Mon, 19 Nov 2012 07:07:09 +0000","C_Scrass_",203713266,"Cole Scrase",null,"RT @YourFavWhiteGuy: Math-Whiz Khalifa #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000008" },270422945594216448
"Mon, 19 Nov 2012 07:06:52 +0000","CortezJacque",171014691,"Jacque_cortez",null,"RT @YourFavWhiteGuy: MacBook Miller #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000009" },270422874660147201
"Mon, 19 Nov 2012 07:06:48 +0000","CortezJacque",171014691,"Jacque_cortez",null,"RT @YourFavWhiteGuy: Math-Whiz Khalifa #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400000a" },270422858231070720
"Mon, 19 Nov 2012 07:06:33 +0000","ronalddevera",18884627,"Ron DeVera",null,"VNC Lo Green #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400000b" },270422796520288256
"Mon, 19 Nov 2012 07:06:30 +0000","hannaaapaige",391729010,"Hanna Paige",null,"RT @YourFavWhiteGuy: Andre [2(500x2)]+25(40) #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400000c" },270422783631192064
"Mon, 19 Nov 2012 07:06:26 +0000","cbelsh09",724216532,"Cody Belsher",null,"RT @GapBlaster5000: @campby08 is on a roll with the #NerdRapperNames, heres one for ya Andre [2(500x2)]+25(40)",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400000d" },270422767252410368
"Mon, 19 Nov 2012 07:06:11 +0000","willf",101353,"Will Fitzgerald",null,"def mos() #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400000e" },270422705017344001
"Mon, 19 Nov 2012 07:06:11 +0000","hanschacko",9825852,"hanschacko",null,"MC Jabber #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb400000f" },270422703993937920
"Mon, 19 Nov 2012 07:06:02 +0000","jaaso_",361015797,"Jasmin Rahimic",null,"RT @JulesMaltz: public class Enemy { \n\n        #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000010" },270422666534604800
"Mon, 19 Nov 2012 07:05:22 +0000","jo",346,"joanne",null,"Hulu Nation #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000011" },270422499689394177
"Mon, 19 Nov 2012 07:05:06 +0000","LivinOnACLIF_10",236028165,"clifton carroll",null,"RT @YourFavWhiteGuy: Math-Whiz Khalifa #NerdRapperNames",null,{ "result_type" : "recent" },{ "$oid" : "50a9dae2fcb05d7eb4000012" },270422432681168896
